"date","inflation"
"2003-01-01","2.2825653109134"
"2003-02-01","2.8025155032573"
"2003-03-01","3.3949295266471"
"2003-04-01","2.5941086657246"
"2003-05-01","2.4190741328157"
"2003-06-01","2.1667036113194"
"2003-07-01","1.979265394671"
"2003-08-01","1.8901876392737"
"2003-09-01","1.9764306941883"
"2003-10-01","1.2991422793314"
"2003-11-01","1.8758687642089"
"2003-12-01","2.4837536728524"
"2004-01-01","2.7966579113638"
"2004-02-01","3.4282197556885"
"2004-03-01","2.755868792285"
"2004-04-01","2.7847443849596"
"2004-05-01","3.1814867565134"
"2004-06-01","4.2564994159387"
"2004-07-01","4.613929554775"
"2004-08-01","4.589875141984"
"2004-09-01","4.0262420510252"
"2004-10-01","3.9505696814604"
"2004-11-01","4.0743996504974"
"2004-12-01","3.4810806823859"
"2005-01-01","3.0309791114363"
"2005-02-01","1.6848634691664"
"2005-03-01","1.8769237367502"
"2005-04-01","2.0212079747603"
"2005-05-01","1.7899136032092"
"2005-06-01","1.4861903146927"
"2005-07-01","1.3965508583399"
"2005-08-01","1.224094273787"
"2005-09-01","1.1117863884131"
"2005-10-01","1.2822280924"
"2005-11-01","1.0610917141964"
"2005-12-01","1.494260325137"
"2006-01-01","1.8992830006519"
"2006-02-01","2.6989266327741"
"2006-03-01","2.501963921339"
"2006-04-01","2.902458796976"
"2006-05-01","2.2300356927423"
"2006-06-01","1.8259847076469"
"2006-07-01","1.5462033400412"
"2006-08-01","1.8706701525714"
"2006-09-01","1.9947093859118"
"2006-10-01","1.8918527701293"
"2006-11-01","1.5352702713107"
"2006-12-01","1.137484663025"
"2007-01-01","0.6441924855931"
"2007-02-01","0.35510657963144"
"2007-03-01","0.24688947013241"
"2007-04-01","-0.084042324694362"
"2007-05-01","0.9403322725259"
"2007-06-01","1.5490312817435"
"2007-07-01","2.2061433709121"
"2007-08-01","2.2036539938586"
"2007-09-01","2.8015171678205"
"2007-10-01","3.0791912325402"
"2007-11-01","3.4856065070031"
"2007-12-01","3.9276793303037"
"2008-01-01","4.1486278341973"
"2008-02-01","4.8212979116597"
"2008-03-01","5.5452002021269"
"2008-04-01","5.5199284617627"
"2008-05-01","5.3914247717445"
"2008-06-01","5.7060268826551"
"2008-07-01","5.7901143363201"
"2008-08-01","6.2692984341157"
"2008-09-01","6.2214522691475"
"2008-10-01","6.5381809942662"
"2008-11-01","6.7489100894233"
"2008-12-01","6.6502073340417"
"2009-01-01","6.5264829028557"
"2009-02-01","5.4900016860933"
"2009-03-01","4.778362751095"
"2009-04-01","4.6369113371649"
"2009-05-01","4.2068759840618"
"2009-06-01","3.0598628562658"
"2009-07-01","2.6818944553699"
"2009-08-01","1.8674160817612"
"2009-09-01","1.2045677561477"
"2009-10-01","0.7111817356108"
"2009-11-01","0.28840247001115"
"2009-12-01","0.24531643565041"
"2010-01-01","0.43571873910188"
"2010-02-01","0.83504325765578"
"2010-03-01","0.75526056930536"
"2010-04-01","0.76165337907768"
"2010-05-01","1.0447801520546"
"2010-06-01","1.6434067177788"
"2010-07-01","1.8232512929642"
"2010-08-01","2.3088550826774"
"2010-09-01","2.365356733141"
"2010-10-01","2.0950876960611"
"2010-11-01","2.217711572892"
"2010-12-01","2.0764442319031"
"2011-01-01","2.1726422939375"
"2011-02-01","2.233558588555"
"2011-03-01","2.6634255853354"
"2011-04-01","3.3362707758635"
"2011-05-01","3.0666198865444"
